"Mesorregiões, microrregiões, municípios, distritos, subdistritos e bairros","Até ½ salário mínimo","Mais de 1/2 a 1 salário mínimo","Mais de 1 a 2 salário mínimo","Mais de 2 a 5 salário mínimo","Mais de 5 a 10 salário mínimo","Mais de 10 a 20 salário mínimo","Mais de 20 salário mínimo","Sem rendimento (2)"
"Monte Belo",0.011864406779661,0.189265536723164,0.236158192090395,0.187005649717514,0.066666666666667,0.013559322033898,0,0.295480225988701
"Morada de Camburí",0.005550416281221,0.074930619796485,0.137835337650324,0.195189639222942,0.175763182238668,0.094357076780759,0.039777983348751,0.276595744680851
"Nazareth",0.005607476635514,0.106542056074766,0.203738317757009,0.220560747663551,0.125233644859813,0.050467289719626,0.007476635514019,0.280373831775701
"Nova Palestina",0.036336109008327,0.254731264193793,0.23996971990916,0.077971233913702,0.010598031794095,0.002081756245269,0.000189250567752,0.378122634367903
"Parque Industrial",0,0.4,0.1,0.1,0,0,0,0.4
"Parque Moscoso",0.009840098400984,0.093480934809348,0.145141451414514,0.274292742927429,0.149446494464945,0.056580565805658,0.009840098400984,0.261377613776138
"Piedade",0.0187265917603,0.217228464419476,0.239700374531835,0.104868913857678,0.02247191011236,0.0187265917603,0.00749063670412,0.370786516853933
"Pontal de Camburí",0.008782936010038,0.092848180677541,0.150564617314931,0.234629861982434,0.117942283563363,0.040150564617315,0.012547051442911,0.342534504391468
"Praia do Canto",0.003726530027232,0.046366633223449,0.078042138454923,0.150709473985954,0.192776264870288,0.165973914289809,0.101691271320052,0.260713773828293
"Praia do Suá",0.027027027027027,0.186009538950715,0.172098569157393,0.140302066772655,0.079093799682035,0.04093799682035,0.013116057233704,0.341414944356121
"Redenção",0.023506743737958,0.254720616570328,0.260500963391137,0.098265895953757,0.010019267822736,0.000385356454721,0,0.352601156069364
"República",0.00721917412648,0.103378573491193,0.18336702281259,0.249783424776206,0.129945134276639,0.045625180479353,0.007796708056598,0.272884781980941
"Resistência",0.025761973875181,0.263969521044993,0.254716981132075,0.080370101596517,0.008708272859216,0.001269956458636,0.000362844702467,0.364840348330914
"Romão",0.036604361370717,0.252725856697819,0.229361370716511,0.103582554517134,0.017523364485981,0.004672897196262,0.001168224299065,0.354361370716511
"Santa Cecília",0.012121212121212,0.084848484848485,0.141125541125541,0.258874458874459,0.159307359307359,0.055411255411255,0.008658008658009,0.27965367965368
"Santa Clara",0.014904187366927,0.1291696238467,0.190205819730305,0.21930447125621,0.124201561391058,0.028388928317956,0.01277501774308,0.281050390347764
"Santa Helena",0.002333177788147,0.044330377974802,0.067662155856276,0.141390573961736,0.187587494167056,0.185254316378908,0.11012599160056,0.261315912272515
"Santa Lúcia",0.005927389478884,0.061990614966658,0.103976290442084,0.221289207211657,0.186712768584836,0.111138552729069,0.034576438626821,0.27438873795999
"Santa Luíza",0.001779359430605,0.086298932384342,0.133451957295374,0.190391459074733,0.158362989323843,0.094306049822064,0.034697508896797,0.300711743772242
"Santa Martha",0.026100236012773,0.198250728862974,0.252394835485214,0.160349854227405,0.038733860891295,0.005275579619603,0.001110648340969,0.317784256559767
"Santa Tereza",0.012486992715921,0.086715227193895,0.237599722511273,0.162330905306972,0.048213666319806,0.010405827263267,0.000346860908776,0.44190079778009
"Santo André",0.043271139341008,0.247717348154029,0.269948392219135,0.102024612941644,0.012703453751489,0.000793965859468,0,0.323541087733227
"Santo Antônio",0.014925373134328,0.173555300420972,0.238040566398775,0.179678530424799,0.044010715652507,0.012437810945274,0.002104860313816,0.335246842709529
"Santos Dumont",0.024451410658307,0.208777429467085,0.285266457680251,0.13166144200627,0.030094043887147,0.006269592476489,0,0.313479623824451
"Santos Reis",0.052023121387283,0.278612716763006,0.228901734104046,0.060115606936416,0.009248554913295,0.001156069364162,0,0.369942196531792
"São Benedito",0.036954585930543,0.227960819234194,0.214603739982191,0.076580587711487,0.009349955476402,0.000890471950134,0.000890471950134,0.432769367764915
"São Cristovão",0.013780059443394,0.18454471764388,0.225614698730073,0.190759254255607,0.062415563361254,0.009727100783572,0.002161577951905,0.310997027830316
"São José",0.027670171555064,0.237410071942446,0.271167681239624,0.092418372993913,0.012451577199779,0.000553403431101,0.000276701715551,0.358052019922523
"São Pedro",0.027131782945736,0.240863787375415,0.252214839424142,0.113233665559247,0.017995570321152,0.002768549280177,0,0.345791805094131
"Segurança do Lar",0.01980198019802,0.130693069306931,0.22970297029703,0.247524752475248,0.075247524752475,0.02970297029703,0.003960396039604,0.263366336633663
"Solon Borges",0.012536873156342,0.13716814159292,0.247050147492625,0.249262536873156,0.07669616519174,0.019174041297935,0.000737463126844,0.257374631268437
"Tabuazeiro",0.01665780613149,0.186425660109871,0.248803827751196,0.168172957646642,0.051213893319157,0.01010101010101,0.001594896331738,0.317029948608896
"Universitário",0.011568123393316,0.159383033419023,0.236503856041131,0.185089974293059,0.079691516709512,0.015424164524422,0.005141388174807,0.30719794344473
"Vila Rubim",0.022745098039216,0.188235294117647,0.224313725490196,0.179607843137255,0.063529411764706,0.012549019607843,0.00078431372549,0.308235294117647
